indicator1,indicator2,indicator3,indicator4,indicator5,indicator6,indicator7,indicator8,indicator9,indicator10,indicator11,indicator12,indicator13,indicator14,indicator15,indicator16,indicator17,indicator18,indicator19,indicator20,indicator21,indicator22,indicator23,indicator24,indicator25,indicator26,indicator27,indicator28,indicator29,indicator30,indicator31,indicator32,indicator33,indicator34,indicator35,indicator36,indicator37,indicator38,indicator39,indicator40,indicator41,indicator42,indicator43,indicator44,indicator45,indicator46,indicator47,indicator48,indicator49,indicator50,indicator51,indicator52,indicator53,indicator54,indicator55,indicator56,indicator57,indicator58,indicator59,indicator60,indicator61,indicator62,indicator63,indicator64,indicator65,indicator66,indicator67,indicator68,indicator69,indicator70,indicator71,indicator72,indicator73,indicator74,indicator75,indicator76,indicator77,indicator78,indicator79,indicator80,indicator81,indicator82,indicator83,indicator84,indicator85,indicator86,indicator87,indicator88,indicator89,indicator90,indicator91,indicator92,indicator93,indicator94,indicator95,indicator96,indicator97,indicator98,indicator99,indicator100,indicator101,indicator102,indicator103,indicator104,indicator105,indicator106,indicator107,indicator108,midPrice,UpdateTime,UpdateMillisec,LastPrice,Volume,LastVolume,Turnover,LastTurnover,AskPrice5,AskPrice4,AskPrice3,AskPrice2,AskPrice1,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,AskVolume5,AskVolume4,AskVolume3,AskVolume2,AskVolume1,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolume5,OpenInterest,UpperLimitPrice,LowerLimitPrice
1.00009,-0.0865052,-1374.48,-2.07612,0.000177763,0.999911,0.998495,0.75,1.03806,0.0042697,1.00009,0,0,1.90311,0.0909091,-1.04545,0.532106,0,0,1.00009,0,0,1.16782,0.777778,-1.07407,0.81758,0,0,1.00004,0.000178031,4.45077e-005,0.821799,1.52632,-1.10526,0.894445,0,0.000178031,1.00002,0,7.23251e-005,0.594723,2.49091,-1.14545,0.692111,0,0.000178031,1.00019,-0.000712124,-0.000102924,1.75714,0.181538,-1.04923,0.179243,0.000712124,0.000178031,1.00061,-0.00106819,-0.000518793,1.0651,0.949239,-1.08122,0.128558,0.00106819,0.000178031,1.00114,-0.0023144,-0.00104941,0.815041,1.54726,-1.10614,0.0636698,0.0023144,0.000178031,1.00009,0,0,2.07612,0,0,0.5,0,0,0.0266667,0.0533333,0.626667,0.0533333,0.24,0.0103093,0.28866,0.0412371,0.639175,0.0206186,0.916666,0.5625,0.395833,0.286458,0.846354,0.513021,0.392578,0.498047,-8.90155e-005,-5.60468e-005,-6.09053e-005,-7.28309e-005,0.000304844,0.000418418,0.000828892,0.00142419,5617.5,09:01:06,395,5617,3240,24,1.82271e+008,1.34796e+006,5623,5622,5621,5619,5618,5617,5616,5615,5614,5613,18,4,47,4,2,1,28,4,62,2,89336,5869,5311
1.00009,-0.0865052,-1374.48,0,0.000177765,0.999911,0.998506,0.5,0,0,1.00009,0,0,1.03806,-1,-1.08333,0.532106,0,0,1.00009,0,0,1.16782,-1,-1.07407,0.81758,0,0,1.00006,8.90155e-005,3.33808e-005,0.692042,-1,-1.125,0.92963,0,0.000178031,1.00002,0,7.23251e-005,0.594723,-1,-1.14545,0.794741,0,0.000178031,1.00017,-0.000712124,-8.06703e-005,1.75173,-1,-1.04938,0.186162,0.000712124,0.000178031,1.00059,-0.00106819,-0.000502103,1.0651,-1,-1.08122,0.133324,0.00106819,0.000178031,1.00112,-0.0023144,-0.00103133,0.813689,-1,-1.10631,0.0662561,0.0023144,0.000178031,1.00151,-0.00142425,-0.00142564,0.942096,-1,-1.09182,0.352381,0.00293751,0.000178031,0.0266667,0.0533333,0.626667,0.0533333,0.24,0.0103093,0.28866,0.0412371,0.639175,0.0206186,1.2e+006,1.35e+006,800000,687500,2.025e+006,1.23125e+006,940625,1.09297e+006,-0.000178448,-5.6232e-005,-6.69179e-005,-7.29218e-005,0.000303846,0.000418405,0.000826564,0.00138133,5617.5,09:01:06,637,5617,3240,0,1.82271e+008,0,5623,5622,5621,5619,5618,5617,5616,5615,5614,5613,18,4,47,4,2,1,28,4,62,2,89336,5869,5311
1.00009,-0.0865052,-1374.48,0,0.000177767,1.00009,0.998516,0.5,0,0.000711617,1.00009,0,0,0.17301,1,-1.5,0.532106,0,0,1.00009,0,0,1.03806,-0.666667,-1.08333,0.81758,0,0,1.00007,8.90155e-005,2.22539e-005,0.713668,-0.515152,-1.12121,0.953087,0,0.000178031,1.00002,0,7.23251e-005,0.594723,-0.418182,-1.14545,0.863161,0,0.000178031,1.00015,-0.000712124,-5.84164e-005,1.76254,-0.803681,-1.04908,0.190775,0.000712124,0.000178031,1.00057,-0.00106819,-0.000485413,1.04347,-0.668394,-1.0829,0.136502,0.00106819,0.000178031,1.0011,-0.0023144,-0.00101325,0.815041,-0.575456,-1.10614,0.0679802,0.0023144,0.000178031,1.00151,-0.00142425,-0.00142008,0.931958,-0.628716,-1.09282,0.253968,0.00293751,0.000178031,0.031746,0.0634921,0.746032,0.0634921,0.0952381,0.0103093,0.28866,0.0412371,0.639175,0.0206186,0.499999,2.99999,2.06249,1.71875,5.09374,3.01562,2.35546,2.69531,0,-8.15975e-005,-5.66462e-005,-7.60678e-005,0.000301997,0.000401723,0.000821511,0.00137939,5617.5,09:01:06,943,5617,3244,4,1.82496e+008,224700,5623,5622,5621,5619,5618,5617,5616,5615,5614,5613,6,4,47,4,2,1,28,4,62,2,89336,5869,5311
1.00009,0,490.311,1.03806,0.000177768,1.00009,0.998703,0.666667,0.346021,0.00213447,1,0.000177999,8.89996e-005,0.692042,0.5,-1,0.688071,0,0.000177999,0.999956,0.000177999,0.000133499,0.865052,0.2,-1,0.878387,0,0.000177999,0.999933,0.000355999,0.000155749,0.843426,0.230769,-1,0.968724,0,0.000177999,0.99985,0.000177999,0.000239187,0.637976,0.627119,-1,0.908774,0,0.000355999,0.999953,-0.000533998,0.000136281,1.78958,-0.41994,-1,0.29385,0.000355999,0.000355999,1.00038,-0.000889996,-0.000293421,1.05428,-0.0153846,-1,0.186239,0.000889996,0.000355999,1.00091,-0.00213599,-0.00081838,0.823151,0.261084,-1,0.0929392,0.00213599,0.000355999,1.00133,-0.001068,-0.00123765,0.919793,0.128582,-1,0.207407,0.00275899,0.000355999,0.0212766,0.5,0.0425532,0.0638298,0.37234,0.02,0.01,0.28,0.07,0.62,0.666666,0.833333,0.812499,0.614583,1.72396,1.01562,0.792968,0.896484,-4.44998e-005,-0.000231399,-0.000198538,-0.000227779,0.00012019,0.000216794,0.000637027,0.00119675,5618.5,09:01:07,185,5618,3256,12,1.8317e+008,674220,5624,5623,5622,5621,5619,5618,5617,5616,5615,5614,35,6,4,47,2,2,1,28,7,62,89340,5869,5311
1.00009,0,571.371,0,0.00017777,1.00009,0.998712,0.5,0,0,1.00009,0.000177999,0,0.604839,-1,-1,0.688071,0,0,1,0.000177999,8.89996e-005,0.403226,-1,-1,0.918924,0,0.000177999,0.999956,0.000177999,0.000133499,0.882056,-1,-1,0.97915,0,0.000177999,0.999867,0.000266999,0.000222499,0.604839,-1,-1,0.939182,0,0.000355999,0.999942,-0.000355999,0.000147406,1.21598,-1,-1,0.418122,0.000177999,0.000355999,1.00037,-0.000889996,-0.000279515,1.22858,-1,-1,0.219398,0.000889996,0.000355999,1.00089,-0.00213599,-0.000801692,0.956086,-1,-1,0.109579,0.00213599,0.000355999,1.00132,-0.001068,-0.00123348,1.06162,-1,-1,0.176367,0.00275899,0.000355999,0.0212766,0.5,0.0425532,0.0638298,0.37234,0.02,0.01,0.28,0.07,0.62,600000,400000,875000,600000,1.20625e+006,1.21875e+006,948437,1.07031e+006,-8.33407e-007,-4.51248e-005,-0.000190856,-0.000211478,-5.76682e-005,0.000216781,0.00063208,0.00119766,5618.5,09:01:07,340,5618,3256,0,1.8317e+008,0,5624,5623,5622,5621,5619,5618,5617,5616,5615,5614,35,6,4,47,2,2,1,28,7,62,89340,5869,5311
1.00009,1.41129,8503.23,0,0.000177772,1.00009,0.998721,0.5,0,0,1.00009,0,0,0,0,0,0.688071,0,0,1.00004,0.000177999,4.44998e-005,0.403226,-1,2.5,0.94595,0,0.000177999,0.999978,0.000177999,0.00011125,0.882056,-1,0.6,0.9861,0,0.000177999,0.999889,0.000355999,0.000200249,0.604839,-1,1.33333,0.959455,0,0.000355999,0.999936,-0.000177999,0.000152968,1.15927,-1,0.217391,0.545415,8.89996e-005,0.000355999,1.00035,-0.000889996,-0.000265608,1.22858,-1,0.148718,0.241503,0.000889996,0.000355999,1.00087,-0.00213599,-0.000785005,0.949786,-1,0.485904,0.120671,0.00213599,0.000355999,1.00132,-0.001157,-0.00122896,1.05295,-1,0.340314,0.155673,0.00275899,0.000355999,0.0212766,0.5,0.0425532,0.0638298,0.37234,0.123077,0.130769,0.215385,0.0538462,0.476923,0,400000,875000,600000,1.15e+006,1.21875e+006,942187,1.05703e+006,-1.00009,-4.51248e-005,-0.000190856,-0.000211478,-7.25812e-005,0.000216781,0.000622399,0.00119733,5618.5,09:01:07,684,5618,3256,0,1.8317e+008,0,5624,5623,5622,5621,5619,5618,5617,5616,5615,5614,35,6,4,47,2,16,17,28,7,62,89340,5869,5311
0.999911,1.00806,6239.11,1.00806,0.000177773,1,0.998907,0.5,0,0.00177274,0.999911,0,0,0.504032,1,1,0.688071,0,0,0.999911,0.000177968,0,0.554435,0.818182,0.818182,0.94595,0,0,0.999822,0.000177968,8.89838e-005,0.882056,0.142857,0.142857,0.990733,0,0.000177968,0.999733,0.000355935,0.000177968,0.655242,0.538462,0.538462,0.97297,0,0.000355935,0.999758,0,0.000152941,1.02067,-0.0123457,-0.0123457,0.630276,8.89838e-005,0.000355935,1.00016,-0.000889838,-0.000251657,1.24433,-0.189873,-0.189873,0.25624,0.000889838,0.000355935,1.00068,-0.00213561,-0.000768181,0.948211,0.0631229,0.0631229,0.128067,0.00213561,0.000355935,1.00113,-0.00124577,-0.00122387,1.04272,-0.0332326,-0.0332326,0.141877,0.0027585,0.000355935,0.0612245,0.479592,0.0408163,0.0612245,0.357143,0.122137,0.137405,0.21374,0.0534351,0.473282,0.5,0.549999,0.874999,0.649999,1.0125,1.23437,0.940624,1.04844,8.89838e-005,4.04472e-005,-0.000165256,-0.00018139,-9.44766e-005,0.000215138,0.000602193,0.00119107,5618.5,09:01:07,747,5619,3266,10,1.83732e+008,561900,5624,5623,5622,5621,5619,5618,5617,5616,5615,5614,35,6,4,47,6,16,18,28,7,62,89340,5869,5311
1.00009,-0.403226,-1690.32,-2.01613,0.000177775,1,0.998739,0.95,1.81452,0.00354925,1.00009,0,0,1.5121,0.333333,-1.26667,0.688071,0,0,1.00009,0,0,0.756048,1.66667,-1.53333,0.94595,0,0,1.00002,0.000177999,6.67497e-005,0.882056,1.28571,-1.45714,0.993822,0,0.000177999,0.999933,0.000355999,0.000155749,0.78125,1.58065,-1.51613,0.98198,0,0.000355999,0.999936,0,0.000152968,1.04587,0.927711,-1.38554,0.686851,8.89996e-005,0.000355999,1.00033,-0.000889996,-0.000237796,1.27583,0.580247,-1.31605,0.266065,0.000889996,0.000355999,1.00084,-0.00204699,-0.000752325,0.94506,1.13333,-1.42667,0.132997,0.00213599,0.000355999,1.00131,-0.001157,-0.00121957,1.04272,0.933535,-1.38671,0.13268,0.00275899,0.000355999,0.0990099,0.465347,0.039604,0.049505,0.346535,0.0491803,0.155738,0.229508,0.057377,0.508197,0.75,0.375,0.4375,0.3875,0.51875,0.632812,0.46875,0.519531,-2.96665e-005,-2.96665e-005,-0.000144942,-0.000166515,-9.43611e-005,0.000207666,0.000561884,0.00118281,5618.5,09:01:08,156,5618,3286,20,1.84855e+008,1.1236e+006,5624,5623,5622,5621,5619,5618,5617,5616,5615,5614,35,5,4,47,10,6,19,28,7,62,89358,5869,5311
1.00009,-0.302419,-1123.79,0,0.000177777,1,0.998749,0.5,0,0,1.00009,0,0,1.00806,-1,-1.3,0.688071,0,0,1.00009,0,0,0.756048,-1,-1.4,0.94595,0,0,1.00004,0.000177999,4.44998e-005,0.579637,-1,-1.52174,0.995881,0,0.000177999,0.999956,0.000355999,0.000133499,0.768649,-1,-1.39344,0.987987,0,0.000355999,0.999936,0,0.000152968,0.963962,-1,-1.31373,0.724567,8.89996e-005,0.000355999,1.00031,-0.000889996,-0.00022389,1.27583,-1,-1.23704,0.272615,0.000889996,0.000355999,1.00083,-0.00204699,-0.000736333,0.943485,-1,-1.32053,0.136284,0.00213599,0.000355999,1.0013,-0.001246,-0.00121471,1.04193,-1,-1.29025,0.126549,0.00275899,0.000355999,0.0990099,0.465347,0.039604,0.049505,0.346535,0.0564516,0.16129,0.225806,0.0564516,0.5,1e+006,750000,575000,762500,956250,1.26563e+006,935937,1.03594e+006,-8.94996e-005,-2.99999e-005,-3.50434e-005,-0.000162032,-9.48493e-005,0.000207653,0.0005591,0.00118269,5618.5,09:01:08,234,5618,3286,0,1.84855e+008,0,5624,5623,5622,5621,5619,5618,5617,5616,5615,5614,35,5,4,47,10,7,20,28,7,62,89358,5869,5311
1.00009,-0.504032,-2256.45,-0.403226,0.000177778,1,0.998757,1,0.403226,0.000709975,1.00009,0,0,0.201613,1,-3.5,0.688071,0,0,1.00009,0,0,0.856855,-0.529412,-1.58824,0.94595,0,0,1.00007,0.000177999,2.22499e-005,0.63004,-0.36,-1.8,0.997254,0,0.000177999,0.999972,0.000266999,0.000116812,0.718246,-0.438596,-1.70175,0.991991,0,0.000355999,0.999936,0,0.000152968,0.963962,-0.581699,-1.52288,0.749712,8.89996e-005,0.000355999,1.0003,-0.000889996,-0.000209984,1.25063,-0.677582,-1.40302,0.276981,0.000889996,0.000355999,1.00081,-0.00213599,-0.000719646,0.94506,-0.573333,-1.53333,0.138475,0.00213599,0.000355999,1.0013,-0.001246,-0.00120984,1.04272,-0.613293,-1.48338,0.122461,0.00275899,0.000355999,0.0990099,0.465347,0.039604,0.049505,0.346535,0.0409836,0.163934,0.229508,0.057377,0.508197,0.499999,2.12499,1.5625,1.78125,2.39062,3.10155,2.34374,2.58984,-8.89996e-005,-3.66469e-005,-3.91598e-005,-0.000154578,-9.48166e-005,0.000191226,0.000554468,0.00118066,5618.5,09:01:08,614,5618,3290,4,1.8508e+008,224720,5624,5623,5622,5621,5619,5618,5617,5616,5615,5614,35,5,4,47,10,5,20,28,7,62,89362,5869,5311
